ID,ATTACK,DEFENCE,VALUE,AMOUNT,DESC,NAME,SKILL,TYPE
1000,35,0,100,1,뭉툭한 몽둥이. 예로 부터 말 안듣는 몬스터는 매가 약이라고 했다.,몽둥이,1000|1001,0
1001,35,0,100,1,육척 길이의 장대. 다루기 편해서 많은 사람이 애용하는 무기.,무딘 장대,1003|1002,0
1002,50,0,500,1,강아지 일족의 비전 무기. 왠지 '멍뭉'하고 싶어진다.,멍뭉이 대도,1004|2002,0
1003,50,0,500,1,커트시를 하는 듯 우아한 움직임으로 사용하는 고양이 일족의 무기.,커트시 랜스,1003|2000,0
1004,50,0,500,1,토끼 농부들이 사용하는 낫. 낮에는 밭을 매고 밤에는 수렵하는... 그들은 '노동자'다.,흰 토끼 대낫,1000|2003,0
1100,0,35,100,1,초보 모험가들이 자주 입는 복장. 초록색 옷에 초록색 모자가 특징이다. 전설 같은 건 없다.,모험가 복장,,1
1101,0,50,250,1,가격이 있어서 베테랑 모험가들이 자주 입는다. 푸른 상의가 특징이다. 자꾸 전설을 찾지 말아라.,탐험가 복장,,1
1102,0,80,500,1,보랏빛 허리 망토가 특징인 장비. 세상을 구한 영웅의 옷을 모방했다는 전설이 있다.,구원자 복장,,1
1200,0,0,25,1,약초를 달여서 만든 회복약. 쓰디 쓰고 쓴데 씁다. 한 마디로 매우 쓰다.,회복약,6000,2
1201,0,0,65,1,회복약에 벌꿀을 넣고 달인 약. 벌꿀을 넣었는데도 회복약 보다 더 쓰다. 분명 벌꿀 말고 다른 게 들어갔다.,회복약 G,6001,2
1202,0,0,135,1,회복약을 더욱 달인 약. 이번에는 대추야자를 넣었다. 제발 그만 좀 써져라.,회복약 GG,6002,2
1203,0,0,295,1,회복약에 쑥을 넣고 극도로 달인 약. 이젠 고약이나 다름 없다. 이젠 너무 달다. 살려줘.,회복약 GGG,6003,2
1204,0,0,80,1,안에 인화성 액체가 들어있는 병. 왜인지는 몰라도 절대로 안깨진다. 액체는 거들 뿐이다.,화염병,5001,2
2000,50,0,250,1,반짝반짝 빛나는 몽둥이. 왜 빛나는 지는 모른다. 마모됬나?,반짝 몽둥이,1000|1001,0
2001,50,0,250,1,꽤나 잘 갈려있는 장대. 장검이 아닌 시점에서 잘 갈려있다고 하긴 힘들다.,연마된 장대,1003|1002,0
2002,100,-35,500,1,날이 섬뜩한 대도. '멈뭄'은 강아지들 사이에서 금기가 되었다. '멍뭉'하지 않다는 이유로.,멈뭄미 대도,1004|2002,0
2003,35,20,500,1,어린 고양이들을 위해서 안전성을 높인 무기. 어린 고양이들이 쓸 일은 없다. 무기니까.,캐트시 랜스,1003|2001,0
2004,50,0,500,1,어린 토끼들이 자주 사용하는 호미. 낮에는 밭을 매고 밤에는 수렵하는… 이런 말 안듣는 아이들…,흰 토끼 호미,1001|2004,0
2100,15,35,500,1,늑대들의 가죽을 그대로 뒤집어 쓴 것. 느낌을 살리기 위해서 다른 복장도 가죽제로 바꿔보았다.,늑대 가죽,,1
2101,-35,100,1000,1,슬라임의 체액으로 만들어진 갑옷. 투명한 재질인데다 촉감도 요상하다 보니 보통 잠옷 위에 겹쳐입는다.,파자마 갑옷,,1
2200,0,0,45,1,널부러진 돌맹이와는 차원을 달리하는 레어 돌맹이. 맞으면 아프다.,짱돌,5000,2
